Número de trade;Instrumento;Cuenta;Estrategia;Mercado pos.;Cant.;Precio de entrada;Precio de salida;Tiempo de entrada;Tiempo de salida;Nombre de entrada;Nombre de salida;Ganancias;Con ganancia neto;Comisión;Tarifa de Liquidación;Tarifa de Intercambio;Tarifa de IP;Tarifa de NFA;MAE;MFE;ETD;Barras;
39;ETHBTC;Backtest;CRUCEEMA;Long;1;0,03559;0,03488;20/9/2020 12:00:00 a m;20/9/2020 12:00:00 a m;ENTRADA;Stop loss;-1,99 %;-9,09 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,99 %;0,00 %;1,99 %;1;
40;ETHBTC;Backtest;CRUCEEMA;Long;1;0,03352;0,03316;15/10/2020 12:00:00 a m;17/10/2020 12:00:00 a m;ENTRADA;Cierre por Cruce;-1,07 %;-10,06 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,55 %;0,33 %;1,40 %;3;
41;ETHBTC;Backtest;CRUCEEMA;Long;1;0,03041;0,02980;25/11/2020 12:00:00 a m;28/11/2020 12:00:00 a m;ENTRADA;Stop loss;-2,01 %;-11,87 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,01 %;10,92 %;12,92 %;4;
42;ETHBTC;Backtest;CRUCEEMA;Long;1;0,03091;0,03029;12/12/2020 12:00:00 a m;13/12/2020 12:00:00 a m;ENTRADA;Stop loss;-2,01 %;-13,63 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,01 %;0,39 %;2,39 %;2;
43;ETHBTC;Backtest;CRUCEEMA;Long;1;0,03082;0,03020;16/12/2020 12:00:00 a m;17/12/2020 12:00:00 a m;ENTRADA;Stop loss;-2,01 %;-15,37 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,01 %;0,19 %;2,21 %;2;
44;ETHBTC;Backtest;CRUCEEMA;Long;1;0,02964;0,02905;6/1/2021 12:00:00 a m;6/1/2021 12:00:00 a m;ENTRADA;Stop loss;-1,99 %;-17,06 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,99 %;0,00 %;1,99 %;1;
45;ETHBTC;Backtest;CRUCEEMA;Long;1;0,03762;0,03687;21/2/2021 12:00:00 a m;21/2/2021 12:00:00 a m;ENTRADA;Stop loss;-1,99 %;-18,71 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,99 %;0,00 %;1,99 %;1;
46;ETHBTC;Backtest;CRUCEEMA;Long;1;0,03500;0,03430;11/3/2021 12:00:00 a m;11/3/2021 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;-20,34 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;0,00 %;2,00 %;1;
47;ETHBTC;Backtest;CRUCEEMA;Long;1;0,03267;0,08167;3/4/2021 12:00:00 a m;16/5/2021 12:00:00 a m;ENTRADA;Profit target;149,98 %;99,15 %;$0,00;$0,00;$0,00;$0,00;$0,00;0,77 %;149,98 %;0,00 %;44;
48;ETHBTC;Backtest;CRUCEEMA;Long;1;0,06669;0,06536;15/6/2021 12:00:00 a m;15/6/2021 12:00:00 a m;ENTRADA;Stop loss;-1,99 %;95,18 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,99 %;0,00 %;1,99 %;1;
49;ETHBTC;Backtest;CRUCEEMA;Long;1;0,06492;0,06362;3/7/2021 12:00:00 a m;3/7/2021 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;91,27 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;0,00 %;2,00 %;1;
